Grupo,Asignatura,Profesor,Lun,Mar,Mie,Jue,Vie
1BM2,CALCULO VECTORIAL,CRUZ . CARLOS,07:00-08:30,07:00-08:30,07:00-08:30, ,08:30-10:00
1BM2,FUNDAMENTOS DE FISICA PARA LA INGENIERIA,REYES RAMIREZ ISRAEL,11:30-13:00,10:00-11:30, ,10:00-11:30,07:00-08:30
1BM2,HERRAMIENTAS COMPUTACIONALES,GONZALEZ ALEMAN JESUS ARTURO, ,11:30-13:00,11:30-13:00,11:30-13:00, 
1BM2,INGLES I,MENDOZA PEDRAZA ADELINA,08:30-10:00, , ,10:00-11:30, 
1BM2,ANATOMIA,SOLIS VILLELA JOSE GONZALO,13:00-14:30, ,13:00-14:30, ,13:00-14:30
1BM3,DESARROLLO SOSTENIBLE,GONZALEZ BRITO GLORIA VANESSA,08:30-10:00,08:30-10:00, ,11:30-13:00, 
1BM4,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA,MORALES HERNANDEZ AGUSTIN,10:00-11:30,10:00-11:30,10:00-11:30,10:00-11:30, 
1BM5,PROGRAMACION ORIENTADA A OBJETOS,HUERTA TRUJILLO ILIAC,07:00-08:30, ,07:00-08:30,07:00-08:30, 
1BM6,BIOESTADISTICA,GUZMAN VARGAS LEV, ,10:00-13:00, ,10:00-13:00, 
,,,,,,,
1BV2,ANATOMIA,PEREZ CABRERA ILDA PATRICIA,14:30-16:00,14:30-16:00, , ,14:30-16:00
1BV2,CALCULO VECTORIAL,CARRILLO IBARRA ILIANA CRISTINA,19:00-20:30,19:00-20:30,19:00-20:30,19:00-20:30, 
1BV2,FUNDAMENTOS DE FISICA PARA LA INGENIERIA,ANGELES ISLAS JORGE FERNANDO,16:00-17:30,16:00-17:30,16:00-17:30,14:30-16:00, 
1BV2,HERRAMIENTAS COMPUTACIONALES,GONZALEZ ALEMAN JESUS ARTURO,17:30-19:00,17:30-19:00, ,17:30-19:00, 
1BV3,INGLES I,ROJAS MENDEZ NANCY TAMARA,14:30-16:00, ,14:30-16:00, , 
1BV4,CALCULO VECTORIAL,VALLEJO AGUIRRE FERNANDO,17:30-19:00,17:30-19:00,17:30-19:00,17:30-19:00, 
1BV5,INGLES I,ROJAS MENDEZ NANCY TAMARA, , ,16:00-17:30,16:00-17:30, 
1BV5,HERRAMIENTAS COMPUTACIONALES,GONZALEZ ALEMAN JESUS ARTURO,16:00-17:30, , ,16:00-17:30,17:30-19:00
1BV6,DESARROLLO SOSTENIBLE,MORA PALACIOS MARIANA, ,14:30-16:00, ,14:30-16:00,14:30-16:00
1BV7,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA,RAMIREZ LOPEZ MANOLO,17:30-19:00,17:30-19:00, ,17:30-19:00,17:30-19:00
1BV8,PROGRAMACION ORIENTADA A OBJETOS,PICHARDO LAGUNAS OBDULIA,16:00-17:30, ,14:30-16:00, ,16:00-17:30
1BV9,BIOESTADISTICA,ALMENDRA ARAO FELIX, ,14:30-16:00,14:30-16:00,13:00-14:30,14:30-16:00
,,,,,,,
2BM1,BIOLOGIA MOLECULAR,SIN ASIGNAR, ,08:30-10:00,08:30-10:00,08:30-10:00, 
2BM1,ECUACIONES DIFERENCIALES,GARCIA ARANA M. EN C. GRACIELA,10:00-11:30, ,10:00-11:30, ,10:00-11:30
2BM2,BIOLOGIA MOLECULAR,DIAZ VALDES ELBA, ,11:30-13:00, ,11:30-13:00,13:00-14:30
2BM3,FISICOQUIMICA,LOVTCHIKOVA KHAVRACHENKO ZINAIDA ANDREEVNA,11:30-13:00, ,13:00-14:30, ,11:30-13:00
2BM3,FISIOLOGIA,SOLIS VILLELA JOSE GONZALO, , ,08:30-10:00,11:30-13:00, 
2BM3,INGLES II,REVILLA CUEVAS LAURA ADRIANA,11:30-13:00, ,11:30-13:00, , 
2BM4,TEORIA DE LOS CIRCUITOS,CASTILLEJOS RODRIGUEZ JOSE, ,11:30-13:00,11:30-13:00,13:00-14:30,10:00-11:30
2BM5,BIOQUIMICA,MUNGUIA FUENTES MARÍA DEL ROSARIO, ,08:30-10:00,08:30-10:00,13:00-14:30, 
2BM6,FUNDAMENTOS MATEMATICOS DE INGENIERIA,ORTIZ MORALES ALEJANDRO, , , ,08:30-10:00,11:30-13:00
2BM6,ONDAS ELECTROMAGNETICAS Y SISTEMAS RADIANTES,VILLEGAS RUEDA VERONICA LUCERO,08:30-10:00,07:00-08:30,11:30-13:00, , 
2BM6,SISTEMAS DE GESTION DE CALIDAD,FLORES NEGRETE GUADALUPE LAURA,11:30-13:00, , ,11:30-13:00, 
2BM7,FUNDAMENTOS MATEMATICOS DE INGENIERIA,GALLARDO LOZADA ARTURO ALEJANDRO,08:30-10:00,08:30-10:00, , , 
2BM8,BIOGNOSIS,CORTEZ VEGA RICARDO ALAN,08:30-10:00, ,08:30-10:00, ,07:00-08:30
2BM9,FISICA MODERNA Y OPTICA,NAVARRETE MEZA ZULEMA,10:00-11:30, , ,10:00-11:30,10:00-11:30
2BM10,BIOFISICA,RAMIREZ MORALES ADRIAN OCTAVIO,11:30-13:00, ,11:30-13:00, ,11:30-13:00
2BM11,LIDERAZGO Y EMPRENDEDORES,MALPICA FLORES NORMA PATRICIA, ,07:00-08:30, , ,08:30-10:00
2BM12,INVESTIGACION Y DESARROLLO DE PROYECTOS,CARRILLO TENORIO ARIADNA BERENICE,13:00-14:30, ,13:00-14:30, , 
,,,,,,,
2BV1,BIOLOGIA MOLECULAR,MUNGUIA FUENTES MARÍA DEL ROSARIO,13:00-14:30,13:00-14:30,13:00-14:30, , 
2BV1,ECUACIONES DIFERENCIALES,RIOS MOGUEL JANNETE, , ,17:30-19:00,16:00-17:30,17:30-19:00
2BV2,ECUACIONES DIFERENCIALES,JIMENEZ FRAGOSO ROGELIO, , ,13:00-14:30,14:30-16:00,14:30-16:00
2BV3,FISICOQUIMICA,LOVTCHIKOVA KHAVRACHENKO ZINAIDA ANDREEVNA,14:30-16:00, ,17:30-19:00, ,13:00-14:30
2BV3,FISIOLOGIA,PEREZ CABRERA ILDA PATRICIA, ,19:00-20:30, ,19:00-20:30, 
2BV3,INGLES II,FLORES MENDEZ RICARDO,17:30-19:00, , ,17:30-19:00, 
2BV4,TEORIA DE LOS CIRCUITOS,GOMEZ CORONEL SANDRA LUZ,13:00-14:30,13:00-14:30,13:00-14:30,13:00-14:30, 
2BV5,TEORIA DE LOS CIRCUITOS,LUNA MUÑOZ MARTHA,14:30-16:00,14:30-16:00,14:30-16:00, ,16:00-17:30
2BV6,BIOQUIMICA,ARVIZU AMADOR SALVADOR FERNANDO,17:30-19:00, ,17:30-19:00, ,17:30-19:00
2BV6,FUNDAMENTOS MATEMATICOS DE INGENIERIA,JIMENEZ FRAGOSO ROGELIO,14:30-16:00, , , ,13:00-14:30
2BV7,ONDAS ELECTROMAGNETICAS Y SISTEMAS RADIANTES,CRUZ Y CRUZ SARA GUADALUPE,13:00-14:30, ,13:00-14:30,14:30-16:00, 
2BV8,SISTEMAS DE GESTION DE CALIDAD,FLORES NEGRETE GUADALUPE LAURA,16:00-17:30, ,16:00-17:30, , 
2BV9,BIOGNOSIS,CORTEZ VEGA RICARDO ALAN, ,19:00-20:30,17:30-19:00, ,19:00-20:30
2BV10,FISICA MODERNA Y OPTICA,RAMIREZ LOPEZ MANOLO,16:00-17:30,14:30-16:00, ,14:30-16:00, 
2BV11,BIOFISICA,RAMIREZ MORALES ADRIAN OCTAVIO, ,13:00-14:30, ,14:30-16:00,13:00-14:30
2BV12,LIDERAZGO Y EMPRENDEDORES,MORA PALACIOS MARIANA, , ,17:30-19:00,17:30-19:00, 
2BV13,INVESTIGACION Y DESARROLLO DE PROYECTOS,CASTILLO PADILLA EUSEBIO,17:30-19:00, , ,16:00-17:30, 
,,,,,,,
3BM1,ANALISIS NUMERICO,ESTRADA OLIVAS FERNANDO,07:00-08:30, ,07:00-08:30,07:00-08:30,07:00-08:30
3BM2,DISPOSITIVOS ELECTRONICOS,SALMERON GUZMAN MIRNA,10:00-11:30, ,10:00-11:30, ,08:30-10:00
3BM2,INGLES III,CAMACHO LOPEZ LUISA MIRIAM, ,11:30-13:00, ,11:30-13:00, 
3BM3,INGLES III,CAMACHO LOPEZ LUISA MIRIAM,08:30-10:00, ,08:30-10:00, , 
3BM4,INGLES III,CAMACHO LOPEZ LUISA MIRIAM,10:00-11:30, ,10:00-11:30, , 
3BM5,BIOMAGNETISMO,RAMIREZ MORALES ADRIAN OCTAVIO,13:00-14:30, ,07:00-08:30, ,08:30-10:00
3BM5,ELECTRONICA ANALOGICA Y DE POTENCIA,GARDUZA GONZALEZ SERGIO, ,10:00-11:30,10:00-11:30, ,13:00-14:30
3BM6,ELECTRONICA DIGITAL,RODRIGUEZ FUENTES MIGUEL ANGEL,07:00-08:30,07:00-08:30, ,07:00-08:30, 
3BM7,MECANISMOS BIOMIMETICOS,CORTEZ VEGA RICARDO ALAN, ,13:00-14:30,13:00-14:30,13:00-14:30, 
3BM8,SENSORES Y ACTUADORES,HERNANDEZ PEREZ ALBERTO, , ,11:30-13:00,11:30-13:00,11:30-13:00
3BM9,BIOMATERIALES,SILVA LOMELI JOSE DE JESUS, ,10:00-11:30,10:00-11:30, ,10:00-11:30
3BM10,PROCESAMIENTO DE IMAGENES,MARTINEZ PEREZ LILIA,08:30-10:00,08:30-10:00, ,08:30-10:00, 
3BM11,TEORIA DEL CONTROL,ROJAS PACHECO ADOLFO,10:00-11:30,11:30-13:00, ,11:30-13:00, 
3BM12,BIOINSTRUMENTACION,HORTA OLIVARES RICARDO,08:30-10:00, ,08:30-10:00,08:30-10:00, 
3BM12,CONTROL NEURODIFUSO,GONZALEZ NAVARRO YESENIA ELEON, ,08:30-10:00, ,10:00-11:30,08:30-10:00
